month,PSA,cameras
2016-12-01,106,5
2016-12-01,107,10
2016-12-01,108,13
2016-12-01,201,2
2016-12-01,202,1
2016-12-01,203,0
2016-12-01,204,3
2016-12-01,205,5
2016-12-01,206,3
2016-12-01,207,1
2016-12-01,208,2
2016-12-01,301,1
2016-12-01,302,3
2016-12-01,303,3
2016-12-01,304,5
2016-12-01,305,2
2016-12-01,306,0
2016-12-01,307,1
2016-12-01,308,1
2016-12-01,401,1
2016-12-01,402,1
2016-12-01,403,4
2016-12-01,404,7
2016-12-01,405,2
2016-12-01,406,1
2016-12-01,407,6
2016-12-01,408,3
2016-12-01,409,1
2016-12-01,501,13
2016-12-01,502,8
2016-12-01,503,8
2016-12-01,504,8
2016-12-01,505,1
2016-12-01,506,6
2016-12-01,507,8
2016-12-01,601,2
2016-12-01,602,0
2016-12-01,603,0
2016-12-01,604,2
2016-12-01,605,2
2016-12-01,606,1
2016-12-01,607,1
2016-12-01,608,2
2016-12-01,701,1
2016-12-01,702,0
2016-12-01,703,1
2016-12-01,704,2
2016-12-01,705,0
2016-12-01,706,1
2016-12-01,707,1
2016-12-01,708,0
2017-01-01,101,0
2017-01-01,102,0
2017-01-01,103,0
2017-01-01,104,8
2017-01-01,105,1
2017-01-01,106,3
2017-01-01,107,6
2017-01-01,108,5
2017-01-01,201,1
2017-01-01,202,1
2017-01-01,203,1
2017-01-01,204,4
2017-01-01,205,1
2017-01-01,206,2
2017-01-01,207,0
2017-01-01,208,0
2017-01-01,301,3
2017-01-01,302,2
2017-01-01,303,1
2017-01-01,304,1
2017-01-01,305,1
2017-01-01,306,0
2017-01-01,307,0
2017-01-01,308,1
2017-01-01,401,1
2017-01-01,402,5
2017-01-01,403,4
2017-01-01,404,6
2017-01-01,405,3
2017-01-01,406,3
2017-01-01,407,8
2017-01-01,408,4
2017-01-01,409,8
2017-01-01,501,9
2017-01-01,502,9
2017-01-01,503,7
2017-01-01,504,6
2017-01-01,505,4
2017-01-01,506,3
2017-01-01,507,6
2017-01-01,601,1
2017-01-01,602,1
2017-01-01,603,3
2017-01-01,604,2
2017-01-01,605,2
2017-01-01,606,0
2017-01-01,607,2
2017-01-01,608,3
2017-01-01,701,2
2017-01-01,702,0
2017-01-01,703,0
2017-01-01,704,1
2017-01-01,705,0
2017-01-01,706,0
2017-01-01,707,0
2017-01-01,708,0
2017-02-01,101,0
2017-02-01,102,0
2017-02-01,103,0
2017-02-01,104,5
2017-02-01,105,0
2017-02-01,106,0
2017-02-01,107,2
2017-02-01,108,4
2017-02-01,201,0
2017-02-01,202,1
2017-02-01,203,0
2017-02-01,204,0
2017-02-01,205,0
2017-02-01,206,0
2017-02-01,207,2
2017-02-01,208,0
2017-02-01,301,0
2017-02-01,302,0
