month,PSA,OFFENSE,crimes
2017-01-01,604,burglary,1
2017-01-01,604,homicide,0
2017-01-01,604,motor vehicle theft,2
2017-01-01,604,robbery,1
2017-01-01,604,sex abuse,1
2017-01-01,604,theft f/auto,3
2017-01-01,604,theft/other,8
2017-01-01,605,arson,0
2017-01-01,605,assault w/dangerous weapon,1
2017-01-01,605,burglary,1
2017-01-01,605,homicide,0
2017-01-01,605,motor vehicle theft,4
2017-01-01,605,robbery,1
2017-01-01,605,sex abuse,0
2017-01-01,605,theft f/auto,3
2017-01-01,605,theft/other,5
2017-01-01,606,arson,0
2017-01-01,606,assault w/dangerous weapon,2
2017-01-01,606,burglary,1
2017-01-01,606,homicide,0
2017-01-01,606,motor vehicle theft,0
2017-01-01,606,robbery,0
2017-01-01,606,sex abuse,0
2017-01-01,606,theft f/auto,5
2017-01-01,606,theft/other,4
2017-01-01,607,arson,0
2017-01-01,607,assault w/dangerous weapon,1
2017-01-01,607,burglary,0
2017-01-01,607,homicide,0
2017-01-01,607,motor vehicle theft,1
2017-01-01,607,robbery,0
2017-01-01,607,sex abuse,0
2017-01-01,607,theft f/auto,0
2017-01-01,607,theft/other,2
2017-01-01,608,arson,0
2017-01-01,608,assault w/dangerous weapon,1
2017-01-01,608,burglary,0
2017-01-01,608,homicide,0
2017-01-01,608,motor vehicle theft,0
2017-01-01,608,robbery,2
2017-01-01,608,sex abuse,0
2017-01-01,608,theft f/auto,3
2017-01-01,608,theft/other,8
2017-01-01,701,arson,0
2017-01-01,701,assault w/dangerous weapon,1
2017-01-01,701,burglary,2
2017-01-01,701,homicide,0
2017-01-01,701,motor vehicle theft,0
2017-01-01,701,robbery,3
2017-01-01,701,sex abuse,1
2017-01-01,701,theft f/auto,2
2017-01-01,701,theft/other,9
2017-01-01,702,arson,0
2017-01-01,702,assault w/dangerous weapon,4
2017-01-01,702,burglary,0
2017-01-01,702,homicide,0
2017-01-01,702,motor vehicle theft,1
2017-01-01,702,robbery,1
